0
         0.75 : {'trueAccept': 198, 'falseAccept': 195, 'trueReject': 5, 'falseReject': 2}
         0.8 : {'trueAccept': 198, 'falseAccept': 194, 'trueReject': 6, 'falseReject': 2}
         0.85 : {'trueAccept': 198, 'falseAccept': 192, 'trueReject': 8, 'falseReject': 2}
         0.9 : {'trueAccept': 198, 'falseAccept': 190, 'trueReject': 10, 'falseReject': 2}
         0.95 : {'trueAccept': 198, 'falseAccept': 186, 'trueReject': 14, 'falseReject': 2}
         1.0 : {'trueAccept': 197, 'falseAccept': 183, 'trueReject': 17, 'falseReject': 3}
         1.05 : {'trueAccept': 196, 'falseAccept': 182, 'trueReject': 18, 'falseReject': 4}
         1.1 : {'trueAccept': 191, 'falseAccept': 177, 'trueReject': 23, 'falseReject': 9}
         1.15 : {'trueAccept': 187, 'falseAccept': 168, 'trueReject': 32, 'falseReject': 13}
         1.2 : {'trueAccept': 181, 'falseAccept': 162, 'trueReject': 38, 'falseReject': 19}
         1.25 : {'trueAccept': 178, 'falseAccept': 148, 'trueReject': 52, 'falseReject': 22}
         1.3 : {'trueAccept': 172, 'falseAccept': 142, 'trueReject': 58, 'falseReject': 28}
         1.35 : {'trueAccept': 166, 'falseAccept': 132, 'trueReject': 68, 'falseReject': 34}
         1.4 : {'trueAccept': 159, 'falseAccept': 122, 'trueReject': 78, 'falseReject': 41}
         1.45 : {'trueAccept': 147, 'falseAccept': 116, 'trueReject': 84, 'falseReject': 53}
         1.5 : {'trueAccept': 136, 'falseAccept': 109, 'trueReject': 91, 'falseReject': 64}
         1.55 : {'trueAccept': 125, 'falseAccept': 103, 'trueReject': 97, 'falseReject': 75}
         1.6 : {'trueAccept': 114, 'falseAccept': 95, 'trueReject': 105, 'falseReject': 86}
         1.65 : {'trueAccept': 101, 'falseAccept': 87, 'trueReject': 113, 'falseReject': 99}
         1.7 : {'trueAccept': 98, 'falseAccept': 77, 'trueReject': 123, 'falseReject': 102}
         1.75 : {'trueAccept': 89, 'falseAccept': 68, 'trueReject': 132, 'falseReject': 111}
         1.8 : {'trueAccept': 78, 'falseAccept': 62, 'trueReject': 138, 'falseReject': 122}
         1.85 : {'trueAccept': 69, 'falseAccept': 58, 'trueReject': 142, 'falseReject': 131}
         1.9 : {'trueAccept': 64, 'falseAccept': 52, 'trueReject': 148, 'falseReject': 136}
         1.95 : {'trueAccept': 61, 'falseAccept': 47, 'trueReject': 153, 'falseReject': 139}
         2.0 : {'trueAccept': 52, 'falseAccept': 46, 'trueReject': 154, 'falseReject': 148}
         2.05 : {'trueAccept': 45, 'falseAccept': 44, 'trueReject': 156, 'falseReject': 155}
         2.1 : {'trueAccept': 44, 'falseAccept': 39, 'trueReject': 161, 'falseReject': 156}
         2.15 : {'trueAccept': 39, 'falseAccept': 35, 'trueReject': 165, 'falseReject': 161}
         2.2 : {'trueAccept': 34, 'falseAccept': 30, 'trueReject': 170, 'falseReject': 166}
         2.25 : {'trueAccept': 29, 'falseAccept': 29, 'trueReject': 171, 'falseReject': 171}
         2.3 : {'trueAccept': 26, 'falseAccept': 26, 'trueReject': 174, 'falseReject': 174}
         2.35 : {'trueAccept': 23, 'falseAccept': 23, 'trueReject': 177, 'falseReject': 177}
         2.4 : {'trueAccept': 19, 'falseAccept': 23, 'trueReject': 177, 'falseReject': 181}
         2.45 : {'trueAccept': 17, 'falseAccept': 20, 'trueReject': 180, 'falseReject': 183}
         2.5 : {'trueAccept': 15, 'falseAccept': 15, 'trueReject': 185, 'falseReject': 185}
         2.55 : {'trueAccept': 15, 'falseAccept': 14, 'trueReject': 186, 'falseReject': 185}
         2.6 : {'trueAccept': 14, 'falseAccept': 12, 'trueReject': 188, 'falseReject': 186}
         2.65 : {'trueAccept': 13, 'falseAccept': 11, 'trueReject': 189, 'falseReject': 187}
         2.7 : {'trueAccept': 12, 'falseAccept': 9, 'trueReject': 191, 'falseReject': 188}
         2.75 : {'trueAccept': 12, 'falseAccept': 9, 'trueReject': 191, 'falseReject': 188}
         2.8 : {'trueAccept': 11, 'falseAccept': 8, 'trueReject': 192, 'falseReject': 189}
         2.85 : {'trueAccept': 11, 'falseAccept': 8, 'trueReject': 192, 'falseReject': 189}
         2.9 : {'trueAccept': 10, 'falseAccept': 7, 'trueReject': 193, 'falseReject': 190}
         2.95 : {'trueAccept': 10, 'falseAccept': 6, 'trueReject': 194, 'falseReject': 190}
         3.0 : {'trueAccept': 8, 'falseAccept': 4, 'trueReject': 196, 'falseReject': 192}
         3.05 : {'trueAccept': 8, 'falseAccept': 4, 'trueReject': 196, 'falseReject': 192}
         3.1 : {'trueAccept': 7, 'falseAccept': 4, 'trueReject': 196, 'falseReject': 193}
         3.15 : {'trueAccept': 7, 'falseAccept': 4, 'trueReject': 196, 'falseReject': 193}
         3.2 : {'trueAccept': 6, 'falseAccept': 3, 'trueReject': 197, 'falseReject': 194}
         3.25 : {'trueAccept': 6, 'falseAccept': 3, 'trueReject': 197, 'falseReject': 194}
         3.3 : {'trueAccept': 5, 'falseAccept': 3, 'trueReject': 197, 'falseReject': 195}
         3.35 : {'trueAccept': 4, 'falseAccept': 3, 'trueReject': 197, 'falseReject': 196}
         3.4 : {'trueAccept': 3, 'falseAccept': 3, 'trueReject': 197, 'falseReject': 197}
         3.45 : {'trueAccept': 3, 'falseAccept': 1, 'trueReject': 199, 'falseReject': 197}
         3.5 : {'trueAccept': 3, 'falseAccept': 1, 'trueReject': 199, 'falseReject': 197}
         3.55 : {'trueAccept': 2, 'falseAccept': 1, 'trueReject': 199, 'falseReject': 198}
         3.6 : {'trueAccept': 2, 'falseAccept': 1, 'trueReject': 199, 'falseReject': 198}
         3.65 : {'trueAccept': 1, 'falseAccept': 1, 'trueReject': 199, 'falseReject': 199}
         3.7 : {'trueAccept': 0, 'falseAccept': 1, 'trueReject': 199, 'falseReject': 200}
         3.75 : {'trueAccept': 0, 'falseAccept': 1, 'trueReject': 199, 'falseReject': 200}
         3.8 : {'trueAccept': 0, 'falseAccept': 0, 'trueReject': 200, 'falseReject': 200}
         3.85 : {'trueAccept': 0, 'falseAccept': 0, 'trueReject': 200, 'falseReject': 200}
         3.9 : {'trueAccept': 0, 'falseAccept': 0, 'trueReject': 200, 'falseReject': 200}
         3.95 : {'trueAccept': 0, 'falseAccept': 0, 'trueReject': 200, 'falseReject': 200}
1
         0.75 : {'trueAccept': 200, 'falseAccept': 197, 'trueReject': 3, 'falseReject': 0}
         0.8 : {'trueAccept': 200, 'falseAccept': 197, 'trueReject': 3, 'falseReject': 0}
         0.85 : {'trueAccept': 198, 'falseAccept': 196, 'trueReject': 4, 'falseReject': 2}
         0.9 : {'trueAccept': 196, 'falseAccept': 189, 'trueReject': 11, 'falseReject': 4}
         0.95 : {'trueAccept': 196, 'falseAccept': 188, 'trueReject': 12, 'falseReject': 4}
         1.0 : {'trueAccept': 194, 'falseAccept': 183, 'trueReject': 17, 'falseReject': 6}
         1.05 : {'trueAccept': 192, 'falseAccept': 182, 'trueReject': 18, 'falseReject': 8}
         1.1 : {'trueAccept': 189, 'falseAccept': 175, 'trueReject': 25, 'falseReject': 11}
         1.15 : {'trueAccept': 184, 'falseAccept': 168, 'trueReject': 32, 'falseReject': 16}
         1.2 : {'trueAccept': 179, 'falseAccept': 160, 'trueReject': 40, 'falseReject': 21}
         1.25 : {'trueAccept': 174, 'falseAccept': 154, 'trueReject': 46, 'falseReject': 26}
         1.3 : {'trueAccept': 167, 'falseAccept': 147, 'trueReject': 53, 'falseReject': 33}
         1.35 : {'trueAccept': 160, 'falseAccept': 139, 'trueReject': 61, 'falseReject': 40}
         1.4 : {'trueAccept': 146, 'falseAccept': 132, 'trueReject': 68, 'falseReject': 54}
         1.45 : {'trueAccept': 136, 'falseAccept': 126, 'trueReject': 74, 'falseReject': 64}
         1.5 : {'trueAccept': 129, 'falseAccept': 120, 'trueReject': 80, 'falseReject': 71}
         1.55 : {'trueAccept': 117, 'falseAccept': 108, 'trueReject': 92, 'falseReject': 83}
         1.6 : {'trueAccept': 114, 'falseAccept': 99, 'trueReject': 101, 'falseReject': 86}
         1.65 : {'trueAccept': 105, 'falseAccept': 91, 'trueReject': 109, 'falseReject': 95}
         1.7 : {'trueAccept': 97, 'falseAccept': 83, 'trueReject': 117, 'falseReject': 103}
         1.75 : {'trueAccept': 90, 'falseAccept': 71, 'trueReject': 129, 'falseReject': 110}
         1.8 : {'trueAccept': 83, 'falseAccept': 65, 'trueReject': 135, 'falseReject': 117}
         1.85 : {'trueAccept': 77, 'falseAccept': 59, 'trueReject': 141, 'falseReject': 123}
         1.9 : {'trueAccept': 69, 'falseAccept': 53, 'trueReject': 147, 'falseReject': 131}
         1.95 : {'trueAccept': 64, 'falseAccept': 50, 'trueReject': 150, 'falseReject': 136}
         2.0 : {'trueAccept': 57, 'falseAccept': 48, 'trueReject': 152, 'falseReject': 143}
         2.05 : {'trueAccept': 51, 'falseAccept': 45, 'trueReject': 155, 'falseReject': 149}
         2.1 : {'trueAccept': 48, 'falseAccept': 40, 'trueReject': 160, 'falseReject': 152}
         2.15 : {'trueAccept': 42, 'falseAccept': 35, 'trueReject': 165, 'falseReject': 158}
         2.2 : {'trueAccept': 36, 'falseAccept': 32, 'trueReject': 168, 'falseReject': 164}
         2.25 : {'trueAccept': 32, 'falseAccept': 29, 'trueReject': 171, 'falseReject': 168}
         2.3 : {'trueAccept': 27, 'falseAccept': 21, 'trueReject': 179, 'falseReject': 173}
         2.35 : {'trueAccept': 21, 'falseAccept': 20, 'trueReject': 180, 'falseReject': 179}
         2.4 : {'trueAccept': 18, 'falseAccept': 18, 'trueReject': 182, 'falseReject': 182}
         2.45 : {'trueAccept': 14, 'falseAccept': 17, 'trueReject': 183, 'falseReject': 186}
         2.5 : {'trueAccept': 12, 'falseAccept': 15, 'trueReject': 185, 'falseReject': 188}
         2.55 : {'trueAccept': 9, 'falseAccept': 14, 'trueReject': 186, 'falseReject': 191}
         2.6 : {'trueAccept': 7, 'falseAccept': 12, 'trueReject': 188, 'falseReject': 193}
         2.65 : {'trueAccept': 7, 'falseAccept': 11, 'trueReject': 189, 'falseReject': 193}
         2.7 : {'trueAccept': 6, 'falseAccept': 10, 'trueReject': 190, 'falseReject': 194}
         2.75 : {'trueAccept': 5, 'falseAccept': 8, 'trueReject': 192, 'falseReject': 195}
         2.8 : {'trueAccept': 5, 'falseAccept': 8, 'trueReject': 192, 'falseReject': 195}
         2.85 : {'trueAccept': 5, 'falseAccept': 8, 'trueReject': 192, 'falseReject': 195}
         2.9 : {'trueAccept': 5, 'falseAccept': 8, 'trueReject': 192, 'falseReject': 195}
         2.95 : {'trueAccept': 5, 'falseAccept': 8, 'trueReject': 192, 'falseReject': 195}
         3.0 : {'trueAccept': 4, 'falseAccept': 7, 'trueReject': 193, 'falseReject': 196}
         3.05 : {'trueAccept': 3, 'falseAccept': 6, 'trueReject': 194, 'falseReject': 197}
         3.1 : {'trueAccept': 3, 'falseAccept': 5, 'trueReject': 195, 'falseReject': 197}
         3.15 : {'trueAccept': 3, 'falseAccept': 4, 'trueReject': 196, 'falseReject': 197}
         3.2 : {'trueAccept': 3, 'falseAccept': 4, 'trueReject': 196, 'falseReject': 197}
         3.25 : {'trueAccept': 2, 'falseAccept': 4, 'trueReject': 196, 'falseReject': 198}
         3.3 : {'trueAccept': 2, 'falseAccept': 4, 'trueReject': 196, 'falseReject': 198}
         3.35 : {'trueAccept': 0, 'falseAccept': 3, 'trueReject': 197, 'falseReject': 200}
         3.4 : {'trueAccept': 0, 'falseAccept': 3, 'trueReject': 197, 'falseReject': 200}
         3.45 : {'trueAccept': 0, 'falseAccept': 3, 'trueReject': 197, 'falseReject': 200}
         3.5 : {'trueAccept': 0, 'falseAccept': 3, 'trueReject': 197, 'falseReject': 200}
         3.55 : {'trueAccept': 0, 'falseAccept': 3, 'trueReject': 197, 'falseReject': 200}
         3.6 : {'trueAccept': 0, 'falseAccept': 3, 'trueReject': 197, 'falseReject': 200}
         3.65 : {'trueAccept': 0, 'falseAccept': 3, 'trueReject': 197, 'falseReject': 200}
         3.7 : {'trueAccept': 0, 'falseAccept': 3, 'trueReject': 197, 'falseReject': 200}
